Aditya Birla Sun Life AMC Limited,100047,Aditya Birla Sun Life Cash Plus,Open Ended,Liquid,Aditya Birla Sun Life Cash Plus - Growth,5000,04-Jun-1997,07-Jun-1997,INF209K01RU9
Aditya Birla Sun Life AMC Limited,100048,Aditya Birla Sun Life Cash Plus,Open Ended,Liquid,Aditya Birla Sun Life Cash Plus-Institutional -  Weekly Dividend,5000,04-Jun-1997,07-Jun-1997,INF209K01KX8INF209K01KY6
Aditya Birla Sun Life AMC Limited,100050,Aditya Birla Sun Life Cash Plus,Open Ended,Liquid,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),5000,04-Jun-1997,07-Jun-1997,
Aditya Birla Sun Life AMC Limited,100051,Aditya Birla Sun Life Cash Plus,Open Ended,Liquid,Aditya Birla Sun Life Cash Plus - Weekly Dividend,5000,04-Jun-1997,07-Jun-1997,INF209K01KU4INF209K01KV2
Aditya Birla Sun Life AMC Limited,103885,Aditya Birla Sun Life Cash Plus,Open Ended,Liquid,Aditya Birla Sun Life Cash Plus - Dividend,5000,04-Jun-1997,07-Jun-1997,INF209KA1LI1
Aditya Birla Sun Life AMC Limited,100057,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus - PF Plan - Quarterly Dividend - Regular Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01AF6INF209K01DP9
Aditya Birla Sun Life AMC Limited,100058,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus - PF Plan - Growth - Regular Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01AC3INF209K01AD1
Aditya Birla Sun Life AMC Limited,100059,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),5000,12-Oct-1999,12-Oct-1999,INF209K01DO2
Aditya Birla Sun Life AMC Limited,100060,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01AI0INF209K01DR5
Aditya Birla Sun Life AMC Limited,100061,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01AH2
Aditya Birla Sun Life AMC Limited,100062,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),5000,12-Oct-1999,12-Oct-1999,INF209K01DQ7
Aditya Birla Sun Life AMC Limited,119605,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus - PF Plan - Growth - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01XP7
Aditya Birla Sun Life AMC Limited,119606,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus - PF Plan - Quarterly Dividend - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209KA1LC4
Aditya Birla Sun Life AMC Limited,119611,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01S04
Aditya Birla Sun Life AMC Limited,119614,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01XS1
Aditya Birla Sun Life AMC Limited,119615,Aditya Birla Sun Life Gilt Plus,Open Ended,Gilt,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209KA1KX2INF209K01XT9
Aditya Birla Sun Life AMC Limited,100063,Aditya Birla Sun Life MNC Fund,Open Ended,Growth,Aditya Birla Sun Life MNC Fund - Dividend - Regular Plan,5000,16-Nov-1998,16-Nov-1998,INF209K01314INF209K01CL0
Aditya Birla Sun Life AMC Limited,100064,Aditya Birla Sun Life MNC Fund,Open Ended,Growth,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,5000,16-Nov-1998,16-Nov-1998,INF209K01322
